index,runs,opponent,ground,date,match,Match_No,total,Year,ODI,T20,TEST,Centuries,Fifties
96,22,Australia,Sydney,01-Feb-12,T20,92,3460,2012,0,1,0,0,0
97,31,Australia,Melbourne,03-Feb-12,T20,93,3491,2012,0,1,0,0,0
98,31,Australia,Melbourne,05-Feb-12,ODI,94,3522,2012,1,0,0,0,0
99,77,SriLanka,Perth,08-Feb-12,ODI,95,3599,2012,1,0,0,0,1
100,18,Australia,Adelaide,12-Feb-12,ODI,96,3617,2012,1,0,0,0,0
101,15,SriLanka,Adelaide,14-Feb-12,ODI,97,3632,2012,1,0,0,0,0
102,12,Australia,Brisbane,19-Feb-12,ODI,98,3644,2012,1,0,0,0,0
103,66,SriLanka,Brisbane,21-Feb-12,ODI,99,3710,2012,1,0,0,0,1
104,21,Australia,Sydney,26-Feb-12,ODI,100,3731,2012,1,0,0,0,0
105,133,SriLanka,Hobart,28-Feb-12,ODI,101,3864,2012,1,0,0,1,0
106,108,SriLanka,Mirpur,13-Mar-12,ODI,102,3972,2012,1,0,0,1,0
107,66,Bangladesh,Mirpur,16-Mar-12,ODI,103,4038,2012,1,0,0,0,1
108,183,Pakistan,Mirpur,18-Mar-12,ODI,104,4221,2012,1,0,0,1,0
110,106,SriLanka,Hambantota,21-Jul-12,ODI,105,4327,2012,1,0,0,1,0
111,1,SriLanka,Hambantota,24-Jul-12,ODI,106,4328,2012,1,0,0,0,0
112,38,SriLanka,Colombo(RPS),28-Jul-12,ODI,107,4366,2012,1,0,0,0,0
113,128,SriLanka,Colombo(RPS),31-Jul-12,ODI,108,4494,2012,1,0,0,1,0
114,23,SriLanka,Pallekele,04-Aug-12,ODI,109,4517,2012,1,0,0,0,0
115,68,SriLanka,Pallekele,07-Aug-12,T20,110,4585,2012,0,1,0,0,1
116,58,NewZealand,Hyderabad(Deccan),23-Aug-12,Test,111,4643,2012,0,0,1,0,1
117,103,NewZealand,Bengaluru,31-Aug-12,Test,112,4746,2012,0,0,1,1,0
118,51,NewZealand,Bengaluru,31-Aug-12,Test,113,4797,2012,0,0,1,0,1
119,70,NewZealand,Chennai,11-Sep-12,T20,114,4867,2012,0,1,0,0,1
120,50,Afghanistan,Colombo(RPS),19-Sep-12,T20,115,4917,2012,0,1,0,0,1
121,40,England,Colombo(RPS),23-Sep-12,T20,116,4957,2012,0,1,0,0,0
122,15,Australia,Colombo(RPS),28-Sep-12,T20,117,4972,2012,0,1,0,0,0
123,78,Pakistan,Colombo(RPS),30-Sep-12,T20,118,5050,2012,0,1,0,0,1
124,2,SouthAfrica,Colombo(RPS),02-Oct-12,T20,119,5052,2012,0,1,0,0,0
125,19,England,Ahmedabad,15-Nov-12,Test,120,5071,2012,0,0,1,0,0
126,14,England,Ahmedabad,15-Nov-12,Test,121,5085,2012,0,0,1,0,0
127,19,England,Wankhede,23-Nov-12,Test,122,5104,2012,0,0,1,0,0
128,7,England,Wankhede,23-Nov-12,Test,123,5111,2012,0,0,1,0,0
129,6,England,Kolkata,05-Dec-12,Test,124,5117,2012,0,0,1,0,0
130,20,England,Kolkata,05-Dec-12,Test,125,5137,2012,0,0,1,0,0
131,103,England,Nagpur,13-Dec-12,Test,126,5240,2012,0,0,1,1,0
132,21,England,Pune,20-Dec-12,T20,127,5261,2012,0,1,0,0,0
133,38,England,Wankhede,22-Dec-12,T20,128,5299,2012,0,1,0,0,0
134,9,Pakistan,Bengaluru,25-Dec-12,T20,129,5308,2012,0,1,0,0,0
135,27,Pakistan,Ahmedabad,28-Dec-12,T20,130,5335,2012,0,1,0,0,0
136,0,Pakistan,Chennai,30-Dec-12,ODI,131,5335,2012,1,0,0,0,0
137,6,Pakistan,Kolkata,03-Jan-13,ODI,132,5341,2013,1,0,0,0,0
138,7,Pakistan,Delhi,06-Jan-13,ODI,133,5348,2013,1,0,0,0,0
139,15,England,Rajkot,11-Jan-13,ODI,134,5363,2013,1,0,0,0,0
140,37,England,Kochi,15-Jan-13,ODI,135,5400,2013,1,0,0,0,0
141,77,England,Ranchi,19-Jan-13,ODI,136,5477,2013,1,0,0,0,1
142,26,England,Mohali,23-Jan-13,ODI,137,5503,2013,1,0,0,0,0
143,0,England,Dharamsala,27-Jan-13,ODI,138,5503,2013,1,0,0,0,0
144,107,Australia,Chennai,22-Feb-13,Test,139,5610,2013,0,0,1,1,0
146,34,Australia,Hyderabad(Deccan),02-Mar-13,Test,140,5644,2013,0,0,1,0,0
147,67,Australia,Mohali,14-Mar-13,Test,141,5711,2013,0,0,1,0,1
148,34,Australia,Mohali,14-Mar-13,Test,142,5745,2013,0,0,1,0,0
149,1,Australia,Delhi,22-Mar-13,Test,143,5746,2013,0,0,1,0,0
150,41,Australia,Delhi,22-Mar-13,Test,144,5787,2013,0,0,1,0,0
151,31,SouthAfrica,Cardiff,06-Jun-13,ODI,145,5818,2013,1,0,0,0,0
152,22,WestIndies,TheOval,11-Jun-13,ODI,146,5840,2013,1,0,0,0,0
153,22,Pakistan,Birmingham,15-Jun-13,ODI,147,5862,2013,1,0,0,0,0
154,58,SriLanka,Cardiff,20-Jun-13,ODI,148,5920,2013,1,0,0,0,1
155,43,England,Birmingham,23-Jun-13,ODI,149,5963,2013,1,0,0,0,0
156,11,WestIndies,Kingston,30-Jun-13,ODI,150,5974,2013,1,0,0,0,0
157,2,SriLanka,Kingston,02-Jul-13,ODI,151,5976,2013,1,0,0,0,0
158,102,WestIndies,PortofSpain,05-Jul-13,ODI,152,6078,2013,1,0,0,1,0
159,31,SriLanka,PortofSpain,09-Jul-13,ODI,153,6109,2013,1,0,0,0,0
160,2,SriLanka,PortofSpain,11-Jul-13,ODI,154,6111,2013,1,0,0,0,0
161,115,Zimbabwe,Harare,24-Jul-13,ODI,155,6226,2013,1,0,0,1,0
162,14,Zimbabwe,Harare,26-Jul-13,ODI,156,6240,2013,1,0,0,0,0
163,68,Zimbabwe,Harare,28-Jul-13,ODI,157,6308,2013,1,0,0,0,1
166,29,Australia,Rajkot,10-Oct-13,T20,158,6337,2013,0,1,0,0,0
167,61,Australia,Pune,13-Oct-13,ODI,159,6398,2013,1,0,0,0,1
168,100,Australia,Jaipur,16-Oct-13,ODI,160,6498,2013,1,0,0,1,0
169,68,Australia,Mohali,19-Oct-13,ODI,161,6566,2013,1,0,0,0,1
171,115,Australia,Nagpur,30-Oct-13,ODI,162,6681,2013,1,0,0,1,0
172,0,Australia,Bengaluru,02-Nov-13,ODI,163,6681,2013,1,0,0,0,0
173,3,WestIndies,Kolkata,06-Nov-13,Test,164,6684,2013,0,0,1,0,0
174,57,WestIndies,Wankhede,14-Nov-13,Test,165,6741,2013,0,0,1,0,1
175,86,WestIndies,Kochi,21-Nov-13,ODI,166,6827,2013,1,0,0,0,1
176,99,WestIndies,Visakhapatnam,24-Nov-13,ODI,167,6926,2013,1,0,0,0,1
177,19,WestIndies,Kanpur,27-Nov-13,ODI,168,6945,2013,1,0,0,0,0
178,31,SouthAfrica,Johannesburg,05-Dec-13,ODI,169,6976,2013,1,0,0,0,0
179,0,SouthAfrica,Durban,08-Dec-13,ODI,170,6976,2013,1,0,0,0,0
181,119,SouthAfrica,Johannesburg,18-Dec-13,Test,171,7095,2013,0,0,1,1,0
182,96,SouthAfrica,Johannesburg,18-Dec-13,Test,172,7191,2013,0,0,1,0,1
183,46,SouthAfrica,Durban,26-Dec-13,Test,173,7237,2013,0,0,1,0,0
184,11,SouthAfrica,Durban,26-Dec-13,Test,174,7248,2013,0,0,1,0,0
185,123,NewZealand,Napier,19-Jan-14,ODI,175,7371,2014,1,0,0,1,0
186,78,NewZealand,Hamilton,22-Jan-14,ODI,176,7449,2014,1,0,0,0,1
187,6,NewZealand,Auckland,25-Jan-14,ODI,177,7455,2014,1,0,0,0,0
188,2,NewZealand,Hamilton,28-Jan-14,ODI,178,7457,2014,1,0,0,0,0
189,82,NewZealand,Wellington,31-Jan-14,ODI,179,7539,2014,1,0,0,0,1
190,4,NewZealand,Auckland,06-Feb-14,Test,180,7543,2014,0,0,1,0,0
191,67,NewZealand,Auckland,06-Feb-14,Test,181,7610,2014,0,0,1,0,1
192,38,NewZealand,Wellington,14-Feb-14,Test,182,7648,2014,0,0,1,0,0
193,105,NewZealand,Wellington,14-Feb-14,Test,183,7753,2014,0,0,1,1,0
194,136,Bangladesh,Fatullah,26-Feb-14,ODI,184,7889,2014,1,0,0,1,0
195,48,SriLanka,Fatullah,28-Feb-14,ODI,185,7937,2014,1,0,0,0,0
196,5,Pakistan,Mirpur,02-Mar-14,ODI,186,7942,2014,1,0,0,0,0
198,36,Pakistan,Mirpur,21-Mar-14,T20,187,7978,2014,0,1,0,0,0
199,54,WestIndies,Mirpur,23-Mar-14,T20,188,8032,2014,0,1,0,0,1
200,57,Bangladesh,Mirpur,28-Mar-14,T20,189,8089,2014,0,1,0,0,1
201,23,Australia,Mirpur,30-Mar-14,T20,190,8112,2014,0,1,0,0,0
202,72,SouthAfrica,Mirpur,04-Apr-14,T20,191,8184,2014,0,1,0,0,1
203,77,SriLanka,Mirpur,06-Apr-14,T20,192,8261,2014,0,1,0,0,1
204,1,England,Nottingham,09-Jul-14,Test,193,8262,2014,0,0,1,0,0
205,8,England,Nottingham,09-Jul-14,Test,194,8270,2014,0,0,1,0,0
206,25,England,Lord's,17-Jul-14,Test,195,8295,2014,0,0,1,0,0
207,0,England,Lord's,17-Jul-14,Test,196,8295,2014,0,0,1,0,0
208,39,England,Southampton,27-Jul-14,Test,197,8334,2014,0,0,1,0,0
209,28,England,Southampton,27-Jul-14,Test,198,8362,2014,0,0,1,0,0
210,0,England,Manchester,07-Aug-14,Test,199,8362,2014,0,0,1,0,0
211,7,England,Manchester,07-Aug-14,Test,200,8369,2014,0,0,1,0,0
212,6,England,TheOval,15-Aug-14,Test,201,8375,2014,0,0,1,0,0
213,20,England,TheOval,15-Aug-14,Test,202,8395,2014,0,0,1,0,0
214,0,England,Cardiff,27-Aug-14,ODI,203,8395,2014,1,0,0,0,0
215,40,England,Nottingham,30-Aug-14,ODI,204,8435,2014,1,0,0,0,0
216,1,England,Birmingham,02-Sep-14,ODI,205,8436,2014,1,0,0,0,0
217,13,England,Leeds,05-Sep-14,ODI,206,8449,2014,1,0,0,0,0
218,66,England,Birmingham,07-Sep-14,T20,207,8515,2014,0,1,0,0,1
219,2,WestIndies,Kochi,08-Oct-14,ODI,208,8517,2014,1,0,0,0,0
220,62,WestIndies,Delhi,11-Oct-14,ODI,209,8579,2014,1,0,0,0,1
221,127,WestIndies,Dharamsala,17-Oct-14,ODI,210,8706,2014,1,0,0,1,0
222,22,SriLanka,Cuttack,02-Nov-14,ODI,211,8728,2014,1,0,0,0,0
223,49,SriLanka,Ahmedabad,06-Nov-14,ODI,212,8777,2014,1,0,0,0,0
224,53,SriLanka,Hyderabad(Deccan),09-Nov-14,ODI,213,8830,2014,1,0,0,0,1
225,66,SriLanka,Kolkata,13-Nov-14,ODI,214,8896,2014,1,0,0,0,1
226,139,SriLanka,Ranchi,16-Nov-14,ODI,215,9035,2014,1,0,0,1,0
227,115,Australia,Adelaide,09-Dec-14,Test,216,9150,2014,0,0,1,1,0
228,141,Australia,Adelaide,09-Dec-14,Test,217,9291,2014,0,0,1,1,0
229,19,Australia,Brisbane,17-Dec-14,Test,218,9310,2014,0,0,1,0,0
230,1,Australia,Brisbane,17-Dec-14,Test,219,9311,2014,0,0,1,0,0
231,169,Australia,Melbourne,26-Dec-14,Test,220,9480,2014,0,0,1,1,0
232,54,Australia,Melbourne,26-Dec-14,Test,221,9534,2014,0,0,1,0,1
233,147,Australia,Sydney,06-Jan-15,Test,222,9681,2015,0,0,1,1,0
234,46,Australia,Sydney,06-Jan-15,Test,223,9727,2015,0,0,1,0,0
235,9,Australia,Melbourne,18-Jan-15,ODI,224,9736,2015,1,0,0,0,0
236,4,England,Brisbane,20-Jan-15,ODI,225,9740,2015,1,0,0,0,0
237,3,Australia,Sydney,26-Jan-15,ODI,226,9743,2015,1,0,0,0,0
238,8,England,Perth,30-Jan-15,ODI,227,9751,2015,1,0,0,0,0
239,107,Pakistan,Adelaide,15-Feb-15,ODI,228,9858,2015,1,0,0,1,0
240,46,SouthAfrica,Melbourne,22-Feb-15,ODI,229,9904,2015,1,0,0,0,0
241,33,U.A.E.,Perth,28-Feb-15,ODI,230,9937,2015,1,0,0,0,0
242,33,WestIndies,Perth,06-Mar-15,ODI,231,9970,2015,1,0,0,0,0
243,44,Ireland,Hamilton,10-Mar-15,ODI,232,10014,2015,1,0,0,0,0
244,38,Zimbabwe,Auckland,14-Mar-15,ODI,233,10052,2015,1,0,0,0,0
245,3,Bangladesh,Melbourne,19-Mar-15,ODI,234,10055,2015,1,0,0,0,0
246,1,Australia,Sydney,26-Mar-15,ODI,235,10056,2015,1,0,0,0,0
