index,runs,opponent,ground,date,match,Match_No,total,Year,ODI,T20,TEST,Centuries,Fifties
326,15,Australia,Bengaluru,04-Mar-17,Test,311,13955,2017,0,0,1,0,0
327,6,Australia,Ranchi,16-Mar-17,Test,312,13961,2017,0,0,1,0,0
328,81,Pakistan,Birmingham,04-Jun-17,ODI,313,14042,2017,1,0,0,0,1
329,0,SriLanka,TheOval,08-Jun-17,ODI,314,14042,2017,1,0,0,0,0
330,76,SouthAfrica,TheOval,11-Jun-17,ODI,315,14118,2017,1,0,0,0,1
331,96,Bangladesh,Birmingham,15-Jun-17,ODI,316,14214,2017,1,0,0,0,1
332,5,Pakistan,TheOval,18-Jun-17,ODI,317,14219,2017,1,0,0,0,0
333,32,WestIndies,PortofSpain,23-Jun-17,ODI,318,14251,2017,1,0,0,0,0
334,87,WestIndies,PortofSpain,25-Jun-17,ODI,319,14338,2017,1,0,0,0,1
335,11,WestIndies,NorthSound,30-Jun-17,ODI,320,14349,2017,1,0,0,0,0
336,3,WestIndies,NorthSound,02-Jul-17,ODI,321,14352,2017,1,0,0,0,0
337,111,WestIndies,Kingston,06-Jul-17,ODI,322,14463,2017,1,0,0,1,0
338,39,WestIndies,Kingston,09-Jul-17,T20,323,14502,2017,0,1,0,0,0
339,3,SriLanka,Galle,26-Jul-17,Test,324,14505,2017,0,0,1,0,0
340,103,SriLanka,Galle,26-Jul-17,Test,325,14608,2017,0,0,1,1,0
341,13,SriLanka,Colombo(SSC),03-Aug-17,Test,326,14621,2017,0,0,1,0,0
342,42,SriLanka,Pallekele,12-Aug-17,Test,327,14663,2017,0,0,1,0,0
343,82,SriLanka,Dambulla,20-Aug-17,ODI,328,14745,2017,1,0,0,0,1
344,4,SriLanka,Pallekele,24-Aug-17,ODI,329,14749,2017,1,0,0,0,0
345,3,SriLanka,Pallekele,27-Aug-17,ODI,330,14752,2017,1,0,0,0,0
346,131,SriLanka,Colombo(RPS),31-Aug-17,ODI,331,14883,2017,1,0,0,1,0
347,110,SriLanka,Colombo(RPS),03-Sep-17,ODI,332,14993,2017,1,0,0,1,0
348,82,SriLanka,Colombo(RPS),06-Sep-17,T20,333,15075,2017,0,1,0,0,1
349,0,Australia,Chennai,17-Sep-17,ODI,334,15075,2017,1,0,0,0,0
350,92,Australia,Kolkata,21-Sep-17,ODI,335,15167,2017,1,0,0,0,1
351,28,Australia,Indore,24-Sep-17,ODI,336,15195,2017,1,0,0,0,0
352,21,Australia,Bengaluru,28-Sep-17,ODI,337,15216,2017,1,0,0,0,0
353,39,Australia,Nagpur,01-Oct-17,ODI,338,15255,2017,1,0,0,0,0
354,22,Australia,Ranchi,07-Oct-17,T20,339,15277,2017,0,1,0,0,0
355,0,Australia,Guwahati,10-Oct-17,T20,340,15277,2017,0,1,0,0,0
356,121,NewZealand,Wankhede,22-Oct-17,ODI,341,15398,2017,1,0,0,1,0
357,29,NewZealand,Pune,25-Oct-17,ODI,342,15427,2017,1,0,0,0,0
358,113,NewZealand,Kanpur,29-Oct-17,ODI,343,15540,2017,1,0,0,1,0
359,26,NewZealand,Delhi,01-Nov-17,T20,344,15566,2017,0,1,0,0,0
360,65,NewZealand,Rajkot,04-Nov-17,T20,345,15631,2017,0,1,0,0,1
361,13,NewZealand,Thiruvananthapuram,07-Nov-17,T20,346,15644,2017,0,1,0,0,0
362,0,SriLanka,Kolkata,16-Nov-17,Test,347,15644,2017,0,0,1,0,0
363,104,SriLanka,Kolkata,16-Nov-17,Test,348,15748,2017,0,0,1,1,0
364,213,SriLanka,Nagpur,24-Nov-17,Test,349,15961,2017,0,0,1,1,0
365,243,SriLanka,Delhi,02-Dec-17,Test,350,16204,2017,0,0,1,1,0
366,50,SriLanka,Delhi,02-Dec-17,Test,351,16254,2017,0,0,1,0,1
367,5,SouthAfrica,CapeTown,05-Jan-18,Test,352,16259,2018,0,0,1,0,0
368,28,SouthAfrica,CapeTown,05-Jan-18,Test,353,16287,2018,0,0,1,0,0
369,153,SouthAfrica,Centurion,13-Jan-18,Test,354,16440,2018,0,0,1,1,0
370,5,SouthAfrica,Centurion,13-Jan-18,Test,355,16445,2018,0,0,1,0,0
371,54,SouthAfrica,Johannesburg,24-Jan-18,Test,356,16499,2018,0,0,1,0,1
372,41,SouthAfrica,Johannesburg,24-Jan-18,Test,357,16540,2018,0,0,1,0,0
373,112,SouthAfrica,Durban,01-Feb-18,ODI,358,16652,2018,1,0,0,1,0
374,46,SouthAfrica,Centurion,04-Feb-18,ODI,359,16698,2018,1,0,0,0,0
375,160,SouthAfrica,CapeTown,07-Feb-18,ODI,360,16858,2018,1,0,0,1,0
376,75,SouthAfrica,Johannesburg,10-Feb-18,ODI,361,16933,2018,1,0,0,0,1
377,36,SouthAfrica,Gqeberha,13-Feb-18,ODI,362,16969,2018,1,0,0,0,0
378,129,SouthAfrica,Centurion,16-Feb-18,ODI,363,17098,2018,1,0,0,1,0
379,26,SouthAfrica,Johannesburg,18-Feb-18,T20,364,17124,2018,0,1,0,0,0
380,1,SouthAfrica,Centurion,21-Feb-18,T20,365,17125,2018,0,1,0,0,0
381,0,Ireland,Dublin(Malahide),27-Jun-18,T20,366,17125,2018,0,1,0,0,0
382,9,Ireland,Dublin(Malahide),29-Jun-18,T20,367,17134,2018,0,1,0,0,0
383,20,England,Manchester,03-Jul-18,T20,368,17154,2018,0,1,0,0,0
384,47,England,Cardiff,06-Jul-18,T20,369,17201,2018,0,1,0,0,0
385,43,England,Bristol,08-Jul-18,T20,370,17244,2018,0,1,0,0,0
386,75,England,Nottingham,12-Jul-18,ODI,371,17319,2018,1,0,0,0,1
387,45,England,Lord's,14-Jul-18,ODI,372,17364,2018,1,0,0,0,0
388,71,England,Leeds,17-Jul-18,ODI,373,17435,2018,1,0,0,0,1
389,149,England,Birmingham,01-Aug-18,Test,374,17584,2018,0,0,1,1,0
390,51,England,Birmingham,01-Aug-18,Test,375,17635,2018,0,0,1,0,1
391,23,England,Lord's,09-Aug-18,Test,376,17658,2018,0,0,1,0,0
392,17,England,Lord's,09-Aug-18,Test,377,17675,2018,0,0,1,0,0
393,97,England,Nottingham,18-Aug-18,Test,378,17772,2018,0,0,1,0,1
394,103,England,Nottingham,18-Aug-18,Test,379,17875,2018,0,0,1,1,0
395,46,England,Southampton,30-Aug-18,Test,380,17921,2018,0,0,1,0,0
396,58,England,Southampton,30-Aug-18,Test,381,17979,2018,0,0,1,0,1
397,49,England,TheOval,07-Sep-18,Test,382,18028,2018,0,0,1,0,0
398,0,England,TheOval,07-Sep-18,Test,383,18028,2018,0,0,1,0,0
399,139,WestIndies,Rajkot,04-Oct-18,Test,384,18167,2018,0,0,1,1,0
400,45,WestIndies,Hyderabad(Deccan),12-Oct-18,Test,385,18212,2018,0,0,1,0,0
402,140,WestIndies,Guwahati,21-Oct-18,ODI,386,18352,2018,1,0,0,1,0
403,157,WestIndies,Visakhapatnam,24-Oct-18,ODI,387,18509,2018,1,0,0,1,0
404,107,WestIndies,Pune,27-Oct-18,ODI,388,18616,2018,1,0,0,1,0
405,16,WestIndies,Brabourne,29-Oct-18,ODI,389,18632,2018,1,0,0,0,0
406,33,WestIndies,Thiruvananthapuram,01-Nov-18,ODI,390,18665,2018,1,0,0,0,0
407,4,Australia,Brisbane,21-Nov-18,T20,391,18669,2018,0,1,0,0,0
409,61,Australia,Sydney,25-Nov-18,T20,392,18730,2018,0,1,0,0,1
410,3,Australia,Adelaide,06-Dec-18,Test,393,18733,2018,0,0,1,0,0
411,34,Australia,Adelaide,06-Dec-18,Test,394,18767,2018,0,0,1,0,0
412,123,Australia,Perth,14-Dec-18,Test,395,18890,2018,0,0,1,1,0
413,17,Australia,Perth,14-Dec-18,Test,396,18907,2018,0,0,1,0,0
414,82,Australia,Melbourne,26-Dec-18,Test,397,18989,2018,0,0,1,0,1
415,0,Australia,Melbourne,26-Dec-18,Test,398,18989,2018,0,0,1,0,0
416,23,Australia,Sydney,03-Jan-19,Test,399,19012,2019,0,0,1,0,0
417,3,Australia,Sydney,12-Jan-19,ODI,400,19015,2019,1,0,0,0,0
418,104,Australia,Adelaide,15-Jan-19,ODI,401,19119,2019,1,0,0,1,0
419,46,Australia,Melbourne,18-Jan-19,ODI,402,19165,2019,1,0,0,0,0
420,45,NewZealand,Napier,23-Jan-19,ODI,403,19210,2019,1,0,0,0,0
421,43,NewZealand,MountMaunganui,26-Jan-19,ODI,404,19253,2019,1,0,0,0,0
422,60,NewZealand,MountMaunganui,28-Jan-19,ODI,405,19313,2019,1,0,0,0,1
423,24,Australia,Visakhapatnam,24-Feb-19,T20,406,19337,2019,0,1,0,0,0
424,72,Australia,Bengaluru,27-Feb-19,T20,407,19409,2019,0,1,0,0,1
425,44,Australia,Hyderabad(Deccan),02-Mar-19,ODI,408,19453,2019,1,0,0,0,0
426,116,Australia,Nagpur,05-Mar-19,ODI,409,19569,2019,1,0,0,1,0
427,123,Australia,Ranchi,08-Mar-19,ODI,410,19692,2019,1,0,0,1,0
428,7,Australia,Mohali,10-Mar-19,ODI,411,19699,2019,1,0,0,0,0
429,20,Australia,Delhi,13-Mar-19,ODI,412,19719,2019,1,0,0,0,0
430,18,SouthAfrica,Southampton,05-Jun-19,ODI,413,19737,2019,1,0,0,0,0
431,82,Australia,TheOval,09-Jun-19,ODI,414,19819,2019,1,0,0,0,1
432,77,Pakistan,Manchester,16-Jun-19,ODI,415,19896,2019,1,0,0,0,1
433,67,Afghanistan,Southampton,22-Jun-19,ODI,416,19963,2019,1,0,0,0,1
434,72,WestIndies,Manchester,27-Jun-19,ODI,417,20035,2019,1,0,0,0,1
435,66,England,Birmingham,30-Jun-19,ODI,418,20101,2019,1,0,0,0,1
436,26,Bangladesh,Birmingham,02-Jul-19,ODI,419,20127,2019,1,0,0,0,0
437,34,SriLanka,Leeds,06-Jul-19,ODI,420,20161,2019,1,0,0,0,0
438,1,NewZealand,Manchester,09-Jul-19,ODI,421,20162,2019,1,0,0,0,0
439,19,WestIndies,Lauderhill,03-Aug-19,T20,422,20181,2019,0,1,0,0,0
440,28,WestIndies,Lauderhill,04-Aug-19,T20,423,20209,2019,0,1,0,0,0
441,59,WestIndies,Providence,06-Aug-19,T20,424,20268,2019,0,1,0,0,1
443,120,WestIndies,PortofSpain,11-Aug-19,ODI,425,20388,2019,1,0,0,1,0
444,114,WestIndies,PortofSpain,14-Aug-19,ODI,426,20502,2019,1,0,0,1,0
445,9,WestIndies,NorthSound,22-Aug-19,Test,427,20511,2019,0,0,1,0,0
446,51,WestIndies,NorthSound,22-Aug-19,Test,428,20562,2019,0,0,1,0,1
447,76,WestIndies,Kingston,30-Aug-19,Test,429,20638,2019,0,0,1,0,1
448,0,WestIndies,Kingston,30-Aug-19,Test,430,20638,2019,0,0,1,0,0
449,72,SouthAfrica,Mohali,18-Sep-19,T20,431,20710,2019,0,1,0,0,1
450,9,SouthAfrica,Bengaluru,22-Sep-19,T20,432,20719,2019,0,1,0,0,0
451,20,SouthAfrica,Visakhapatnam,02-Oct-19,Test,433,20739,2019,0,0,1,0,0
452,31,SouthAfrica,Visakhapatnam,02-Oct-19,Test,434,20770,2019,0,0,1,0,0
453,254,SouthAfrica,Pune,10-Oct-19,Test,435,21024,2019,0,0,1,1,0
454,12,SouthAfrica,Ranchi,19-Oct-19,Test,436,21036,2019,0,0,1,0,0
455,0,Bangladesh,Indore,14-Nov-19,Test,437,21036,2019,0,0,1,0,0
456,136,Bangladesh,Kolkata,22-Nov-19,Test,438,21172,2019,0,0,1,1,0
457,94,WestIndies,Hyderabad(Deccan),06-Dec-19,T20,439,21266,2019,0,1,0,0,1
458,19,WestIndies,Thiruvananthapuram,08-Dec-19,T20,440,21285,2019,0,1,0,0,0
459,70,WestIndies,Wankhede,11-Dec-19,T20,441,21355,2019,0,1,0,0,1
460,4,WestIndies,Chennai,15-Dec-19,ODI,442,21359,2019,1,0,0,0,0
461,0,WestIndies,Visakhapatnam,18-Dec-19,ODI,443,21359,2019,1,0,0,0,0
462,85,WestIndies,Cuttack,22-Dec-19,ODI,444,21444,2019,1,0,0,0,1
464,30,SriLanka,Indore,07-Jan-20,T20,445,21474,2020,0,1,0,0,0
465,26,SriLanka,Pune,10-Jan-20,T20,446,21500,2020,0,1,0,0,0
466,16,Australia,Wankhede,14-Jan-20,ODI,447,21516,2020,1,0,0,0,0
467,78,Australia,Rajkot,17-Jan-20,ODI,448,21594,2020,1,0,0,0,1
468,89,Australia,Bengaluru,19-Jan-20,ODI,449,21683,2020,1,0,0,0,1
469,45,NewZealand,Auckland,24-Jan-20,T20,450,21728,2020,0,1,0,0,0
470,11,NewZealand,Auckland,26-Jan-20,T20,451,21739,2020,0,1,0,0,0
471,38,NewZealand,Hamilton,29-Jan-20,T20,452,21777,2020,0,1,0,0,0
472,11,NewZealand,Wellington,31-Jan-20,T20,453,21788,2020,0,1,0,0,0
473,51,NewZealand,Hamilton,05-Feb-20,ODI,454,21839,2020,1,0,0,0,1
474,15,NewZealand,Auckland,08-Feb-20,ODI,455,21854,2020,1,0,0,0,0
475,9,NewZealand,MountMaunganui,11-Feb-20,ODI,456,21863,2020,1,0,0,0,0
476,2,NewZealand,Wellington,21-Feb-20,Test,457,21865,2020,0,0,1,0,0
477,19,NewZealand,Wellington,21-Feb-20,Test,458,21884,2020,0,0,1,0,0
478,3,NewZealand,Christchurch,29-Feb-20,Test,459,21887,2020,0,0,1,0,0
479,14,NewZealand,Christchurch,29-Feb-20,Test,460,21901,2020,0,0,1,0,0
480,21,Australia,Sydney,27-Nov-20,ODI,461,21922,2020,1,0,0,0,0
481,89,Australia,Sydney,29-Nov-20,ODI,462,22011,2020,1,0,0,0,1
482,63,Australia,Canberra,02-Dec-20,ODI,463,22074,2020,1,0,0,0,1
483,9,Australia,Canberra,04-Dec-20,T20,464,22083,2020,0,1,0,0,0
484,40,Australia,Sydney,06-Dec-20,T20,465,22123,2020,0,1,0,0,0
485,85,Australia,Sydney,08-Dec-20,T20,466,22208,2020,0,1,0,0,1
486,74,Australia,Adelaide,17-Dec-20,Test,467,22282,2020,0,0,1,0,1
487,4,Australia,Adelaide,17-Dec-20,Test,468,22286,2020,0,0,1,0,0
488,11,England,Chennai,05-Feb-21,Test,469,22297,2021,0,0,1,0,0
489,72,England,Chennai,05-Feb-21,Test,470,22369,2021,0,0,1,0,1
490,0,England,Chennai,13-Feb-21,Test,471,22369,2021,0,0,1,0,0
491,62,England,Chennai,13-Feb-21,Test,472,22431,2021,0,0,1,0,1
492,27,England,Ahmedabad,24-Feb-21,Test,473,22458,2021,0,0,1,0,0
494,0,England,Ahmedabad,04-Mar-21,Test,474,22458,2021,0,0,1,0,0
495,0,England,Ahmedabad,12-Mar-21,T20,475,22458,2021,0,1,0,0,0
496,73,England,Ahmedabad,14-Mar-21,T20,476,22531,2021,0,1,0,0,1
497,77,England,Ahmedabad,16-Mar-21,T20,477,22608,2021,0,1,0,0,1
498,1,England,Ahmedabad,18-Mar-21,T20,478,22609,2021,0,1,0,0,0
499,80,England,Ahmedabad,20-Mar-21,T20,479,22689,2021,0,1,0,0,1
500,56,England,Pune,23-Mar-21,ODI,480,22745,2021,1,0,0,0,1
501,66,England,Pune,26-Mar-21,ODI,481,22811,2021,1,0,0,0,1
502,7,England,Pune,28-Mar-21,ODI,482,22818,2021,1,0,0,0,0
503,44,NewZealand,Southampton,18-Jun-21,Test,483,22862,2021,0,0,1,0,0
504,13,NewZealand,Southampton,18-Jun-21,Test,484,22875,2021,0,0,1,0,0
505,0,England,Nottingham,04-Aug-21,Test,485,22875,2021,0,0,1,0,0
507,42,England,Lord's,12-Aug-21,Test,486,22917,2021,0,0,1,0,0
508,20,England,Lord's,12-Aug-21,Test,487,22937,2021,0,0,1,0,0
509,7,England,Leeds,25-Aug-21,Test,488,22944,2021,0,0,1,0,0
510,55,England,Leeds,25-Aug-21,Test,489,22999,2021,0,0,1,0,1
511,50,England,TheOval,02-Sep-21,Test,490,23049,2021,0,0,1,0,1
512,44,England,TheOval,02-Sep-21,Test,491,23093,2021,0,0,1,0,0
513,57,Pakistan,Dubai(DSC),24-Oct-21,T20,492,23150,2021,0,1,0,0,1
514,9,NewZealand,Dubai(DSC),31-Oct-21,T20,493,23159,2021,0,1,0,0,0
516,2,Scotland,Dubai(DSC),05-Nov-21,T20,494,23161,2021,0,1,0,0,0
518,0,NewZealand,Wankhede,03-Dec-21,Test,495,23161,2021,0,0,1,0,0
519,36,NewZealand,Wankhede,03-Dec-21,Test,496,23197,2021,0,0,1,0,0
520,35,SouthAfrica,Centurion,26-Dec-21,Test,497,23232,2021,0,0,1,0,0
521,18,SouthAfrica,Centurion,26-Dec-21,Test,498,23250,2021,0,0,1,0,0
522,79,SouthAfrica,CapeTown,11-Jan-22,Test,499,23329,2022,0,0,1,0,1
523,29,SouthAfrica,CapeTown,11-Jan-22,Test,500,23358,2022,0,0,1,0,0
524,51,SouthAfrica,Paarl,19-Jan-22,ODI,501,23409,2022,1,0,0,0,1
525,0,SouthAfrica,Paarl,21-Jan-22,ODI,502,23409,2022,1,0,0,0,0
526,65,SouthAfrica,CapeTown,23-Jan-22,ODI,503,23474,2022,1,0,0,0,1
527,8,WestIndies,Ahmedabad,06-Feb-22,ODI,504,23482,2022,1,0,0,0,0
528,18,WestIndies,Ahmedabad,09-Feb-22,ODI,505,23500,2022,1,0,0,0,0
529,0,WestIndies,Ahmedabad,11-Feb-22,ODI,506,23500,2022,1,0,0,0,0
530,17,WestIndies,Kolkata,16-Feb-22,T20,507,23517,2022,0,1,0,0,0
531,52,WestIndies,Kolkata,18-Feb-22,T20,508,23569,2022,0,1,0,0,1
532,45,SriLanka,Mohali,04-Mar-22,Test,509,23614,2022,0,0,1,0,0
533,23,SriLanka,Bengaluru,12-Mar-22,Test,510,23637,2022,0,0,1,0,0
534,13,SriLanka,Bengaluru,12-Mar-22,Test,511,23650,2022,0,0,1,0,0
535,11,England,Birmingham,01-Jul-22,Test,512,23661,2022,0,0,1,0,0
536,20,England,Birmingham,01-Jul-22,Test,513,23681,2022,0,0,1,0,0
537,1,England,Birmingham,09-Jul-22,T20,514,23682,2022,0,1,0,0,0
538,11,England,Nottingham,10-Jul-22,T20,515,23693,2022,0,1,0,0,0
539,16,England,Lord's,14-Jul-22,ODI,516,23709,2022,1,0,0,0,0
